Ligand,CHEMBL1811,Drug Name,是否已知抗癌（1已知，0未知）,其作用（其抗何种癌、若不抗癌则其他作用）,Affinity,RMSD Ligand,RMSD Receptor,H_bond,D_bond
S1202_out_1,0.97 ,Dutasteride,1,前列腺癌,-9.3,0,0,3,32
S4227_out_1,1.00 ,Fidaxomicin,0,感染,-9,0,0,9,31
S1183_out_1,0.99 ,Danoprevir (ITMN-191),0,丙型肝炎,-8.8,0,0,8,23
S3951_out_1,1.00 ,Tannic acid,1,胃肠炎，非小细胞肺癌,-8.7,0,0,17,0
S4151_out_1,0.95 ,Penfluridol,1,精神病，卵巢癌,-8.7,0,0,2,33
S1393_out_1,0.96 ,Pirarubicin (NSC-333054),1,肝癌,-8.6,0,0,3,17
S1039_out_1,0.96 ,Rapamycin (AY-22989),1,卵巢癌,-8.4,0,0,2,25
S1267_out_1,0.95 ,Vemurafenib (PLX4032),1,黑色素瘤,-8.4,0,0,4,23
S1022_out_1,0.96 ,"Ridaforolimus (Deforolimus, MK-8669)",1,实体瘤,-8.3,0,0,3,25
S1120_out_1,0.96 ,Everolimus (RAD001),1,乳腺癌、星形细胞瘤等,-8.3,0,0,3,18
S1241_out_1,0.98 ,Vincristine (NSC-67574) sulfate,1,肿瘤,-8.3,0,0,2,20
S4018_out_1,1.00 ,Sennoside B,1,骨肉瘤细胞,-8.3,0,0,14,12
S2608_out_1,0.99 ,Fluocinonide,1,乳腺癌,-8.2,0,0,7,23
S1044_out_1,0.97 ,Temsirolimus (CCI-779),1,淋巴瘤,-8.1,0,0,5,29
S1655_out_1,0.98 ,Ezetimibe (SCH-58235),0,高血脂、胆固醇、心血管疾病,-8.1,0,0,3,31
S1787_out_1,0.97 ,Teniposide,1,淋巴瘤,-8.1,0,0,1,21
S1760_out_1,0.98 ,Rifapentine,0,结核,-8,0,0,2,19
S1790_out_1,0.98 ,Rifaximin,1,肝功能衰竭,-8,0,0,4,31
S2673_out_1,0.95 ,Trametinib (GSK1120212),1,甲状腺癌,-8,0,0,2,10
S4122_out_1,0.96 ,Tilmicosin,0,抗生素,-8,0,0,6,25
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,9,31
,,,,,,,,8,23
,,,,,,,,3,31
,,,,,,,,2,19
,,,,,,,,6,25
