Cat,CHEMBL1985,Drug Name,备注,其作用（其抗何种癌、若不抗癌则其他作用）,Affinity,H_bond,D_bond
S3714,0.96 ,Lifitegrast,,治疗与眼移植物抗宿主病相关的干眼症,-8.8,1,40
S2792,1.00 ,Torcetrapib,,作为CETP抑制剂，但研究显示该药物增加了心血管事件和死亡的风险，最终终止开发,-8.6,1,36
S2229,0.97 ,Eltrombopag (SB497115) Olamine,,受 pembrolizumab 治疗的非小细胞肺癌 （NSCLC） 患者难治性免疫相关血小板减少症,-8.4,1,28
S1655,1.00 ,Ezetimibe (SCH-58235),,高血脂、胆固醇、心血管疾病,-8.2,2,34
S2116,0.98 ,Conivaptan HCl,,等血容量性低钠血症（例如 SIADH，或在甲状腺功能减退、肾上腺皮质功能减退、肺部疾病的情况下）,-8,0,35
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
配体编号,药物名称,作用,分类打分,结合能,氢键,疏水相互作用,
S3714,Lifitegrast,治疗与眼移植物抗宿主病相关的干眼症,0.96 ,-8.8,1,40,
S2792,Torcetrapib,作为CETP抑制剂，但研究显示该药物增加了心血管事件和死亡的风险，最终终止开发,1.00 ,-8.6,1,36,
S2229,Eltrombopag (SB497115) Olamine,受 pembrolizumab 治疗的非小细胞肺癌 （NSCLC） 患者难治性免疫相关血小板减少症,0.97 ,-8.4,1,28,
S1655,Ezetimibe (SCH-58235),高血脂、胆固醇、心血管疾病,1.00 ,-8.2,2,34,
S2116,Conivaptan HCl,等血容量性低钠血症（例如 SIADH，或在甲状腺功能减退、肾上腺皮质功能减退、肺部疾病的情况下）,0.98 ,-8,0,35,
