Ligand,Affinity,RMSD Ligand,RMSD Receptor,H_bond,D_bond
1214_out_1,-7.3,0.0,0.0,9,3
1214_out_2,-7.2,3.462,7.949,13,1
1214_out_3,-7.2,2.841,8.27,7,0
1214_out_4,-7.1,2.128,5.17,11,1
1214_out_5,-6.9,3.532,9.92,10,0
1214_out_6,-6.9,3.601,10.195,14,0
1214_out_7,-6.9,3.253,6.643,9,7
1214_out_8,-6.8,3.198,7.313,10,0
1214_out_9,-6.8,6.503,10.811,11,1
1214_out_10,-6.8,3.121,8.416,10,1
S1022_out_1,-9.3,0.0,0.0,2,34
S1022_out_2,-9.3,1.236,1.924,2,34
S1022_out_3,-8.9,5.838,11.741,2,19
S1022_out_4,-8.6,7.519,15.536,3,13
S1022_out_5,-8.6,6.609,12.451,1,25
S1022_out_6,-8.5,3.722,9.267,2,27
S1022_out_7,-8.4,7.111,14.796,2,14
S1022_out_8,-8.4,9.707,16.009,5,18
S1022_out_9,-8.2,10.643,17.428,2,20
S1022_out_10,-8.2,7.059,14.725,2,20
S1120_out_1,-8.9,0.0,0.0,5,22
S1120_out_2,-8.7,4.171,11.217,0,22
S1120_out_3,-8.7,3.727,11.604,4,8
S1120_out_4,-8.6,2.982,9.8,2,16
S1120_out_5,-8.5,3.768,10.602,1,14
S1120_out_6,-8.4,4.207,11.04,3,26
S1120_out_7,-8.3,3.953,11.024,2,17
S1120_out_8,-8.3,2.697,9.409,2,23
S1120_out_9,-8.2,5.407,10.007,1,27
S1120_out_10,-8.2,4.775,8.466,3,16
S1202_out_1,-9.8,0.0,0.0,1,26
S1202_out_2,-9.2,6.129,8.428,2,14
S1202_out_3,-9.2,5.949,8.314,1,47
S1202_out_4,-9.2,6.394,9.716,0,22
S1202_out_5,-9.0,4.054,8.771,0,18
S1202_out_6,-8.9,5.787,8.735,1,13
S1202_out_7,-8.9,5.39,8.245,0,22
S1202_out_8,-8.9,5.41,8.175,1,13
S1202_out_9,-8.9,6.007,9.954,0,26
S1202_out_10,-8.8,4.489,7.271,0,32
S1514_out_1,-8.0,0.0,0.0,2,18
S1514_out_2,-7.7,7.671,16.03,0,27
S1514_out_3,-7.6,2.325,12.744,1,34
S1514_out_4,-7.5,2.244,10.654,0,20
S1514_out_5,-7.4,7.727,16.707,0,30
S1514_out_6,-7.3,2.72,11.164,1,19
S1514_out_7,-7.2,7.473,16.626,1,42
S1514_out_8,-7.2,7.908,16.227,0,26
S1514_out_9,-7.1,6.52,13.135,0,38
S1514_out_10,-7.0,8.233,14.835,0,39
S1538_out_1,-8.6,0.0,0.0,4,43
S1538_out_2,-7.8,2.363,6.356,6,30
S1538_out_3,-7.8,3.999,8.098,2,31
S1538_out_4,-7.7,4.774,8.843,0,37
S1538_out_5,-7.7,4.856,8.757,1,40
S1538_out_6,-7.7,3.003,7.411,0,34
S1538_out_7,-7.6,2.09,5.625,3,44
S1538_out_8,-7.6,4.382,8.457,2,39
S1538_out_9,-7.6,4.595,8.815,1,40
S1538_out_10,-7.6,3.423,7.35,4,35
S1791_out_1,-7.9,0.0,0.0,2,49
S1791_out_2,-7.6,2.607,4.44,6,37
S1791_out_3,-7.6,6.997,11.678,1,46
S1791_out_4,-7.5,1.732,2.171,4,55
S1791_out_5,-7.5,6.357,16.631,3,46
S1791_out_6,-7.5,2.961,4.723,9,47
S1791_out_7,-7.5,4.375,7.57,5,39
S1791_out_8,-7.4,5.638,11.534,3,49
S1791_out_9,-7.4,3.178,6.225,6,33
S1791_out_10,-7.4,6.701,12.947,5,41
S1902_out_1,-8.6,0.0,0.0,10,31
S1902_out_2,-8.4,2.809,4.812,5,34
S1902_out_3,-8.4,2.643,4.758,4,28
S1902_out_4,-8.4,5.608,13.817,4,34
S1902_out_5,-8.3,2.339,3.985,8,35
S1902_out_6,-8.3,4.017,14.372,3,40
S1902_out_7,-8.2,2.026,2.731,8,34
S1902_out_8,-8.1,2.157,3.566,5,27
S1902_out_9,-8.1,1.764,2.225,8,30
S1902_out_10,-8.1,4.801,13.936,5,35
S2266_out_1,-8.3,0.0,0.0,1,24
S2266_out_2,-8.2,4.708,8.222,1,18
S2266_out_3,-8.1,4.231,7.471,3,19
S2266_out_4,-8.0,3.951,6.9,0,19
S2266_out_5,-7.9,4.009,6.892,0,28
S2266_out_6,-7.8,4.432,7.465,2,14
S2266_out_7,-7.8,4.522,7.209,0,20
S2266_out_8,-7.8,4.236,7.302,3,16
S2266_out_9,-7.6,2.448,8.21,0,31
S2266_out_10,-7.6,3.107,7.456,2,16
S2286_out_1,-8.1,0.0,0.0,2,17
S2286_out_2,-8.0,2.469,10.198,3,21
S2286_out_3,-7.8,1.862,2.356,3,22
S2286_out_4,-7.8,3.635,11.206,1,23
S2286_out_5,-7.7,3.674,11.634,2,26
S2286_out_6,-7.6,7.962,16.701,2,29
S2286_out_7,-7.5,2.742,10.4,3,23
S2286_out_8,-7.5,7.617,16.284,3,36
S2286_out_9,-7.5,2.699,6.594,2,22
S2286_out_10,-7.5,2.641,11.222,2,17
S2296_out_1,-9.5,0.0,0.0,0,24
S2296_out_2,-9.1,4.241,7.083,1,33
S2296_out_3,-8.8,4.385,7.301,0,31
S2296_out_4,-8.8,4.839,8.697,0,25
S2296_out_5,-8.8,4.791,6.366,1,22
S2296_out_6,-8.6,2.04,8.458,0,24
S2296_out_7,-8.5,2.168,8.444,0,20
S2296_out_8,-8.3,3.878,5.637,1,23
S2296_out_9,-8.3,3.193,8.737,1,18
S2296_out_10,-8.2,2.825,4.748,0,17
S2302_out_1,-9.6,0.0,0.0,7,21
S2302_out_2,-9.4,2.988,3.898,6,16
S2302_out_3,-9.4,1.297,1.781,6,13
S2302_out_4,-9.1,3.198,4.051,6,17
S2302_out_5,-9.0,2.892,4.002,6,16
S2302_out_6,-9.0,4.194,7.926,5,23
S2302_out_7,-9.0,3.316,11.354,5,25
S2302_out_8,-8.9,5.948,10.212,2,22
S2302_out_9,-8.8,2.738,5.129,6,16
S2302_out_10,-8.8,3.178,4.887,1,15
S2370_out_1,-9.3,0.0,0.0,1,32
S2370_out_2,-9.0,5.699,10.144,0,28
S2370_out_3,-8.9,5.985,10.407,1,22
S2370_out_4,-8.8,5.989,11.602,4,15
S2370_out_5,-8.7,5.822,9.893,0,21
S2370_out_6,-8.7,4.405,7.718,0,24
S2370_out_7,-8.7,4.994,9.058,0,26
S2370_out_8,-8.5,3.982,9.796,0,18
S2370_out_9,-8.5,4.975,9.373,0,16
S2370_out_10,-8.3,2.454,4.082,0,34
S2376_out_1,-10.2,0.0,0.0,5,22
S2376_out_2,-9.6,1.715,2.842,4,21
S2376_out_3,-9.2,1.951,3.983,5,20
S2376_out_4,-9.2,2.809,5.334,4,26
S2376_out_5,-9.2,1.087,1.667,3,16
S2376_out_6,-9.1,1.986,2.984,3,20
S2376_out_7,-8.9,3.476,4.968,6,27
S2376_out_8,-8.9,4.063,7.794,6,29
S2376_out_9,-8.6,2.442,4.309,3,19
S2376_out_10,-8.6,4.063,6.729,5,20
S3616_out_1,-9.0,0.0,0.0,4,23
S3616_out_2,-8.6,2.249,4.514,3,26
S3616_out_3,-8.4,3.312,10.097,2,21
S3616_out_4,-8.4,1.593,2.764,7,25
S3616_out_5,-8.3,3.31,6.624,8,25
S3616_out_6,-8.3,4.57,8.476,6,24
S3616_out_7,-8.2,1.584,3.586,7,27
