Molecule ChEMBL ID,Activity,APC2D1_C_C,APC2D1_C_N,APC2D1_C_O,APC2D1_C_S,APC2D2_C_C,APC2D2_C_N,APC2D2_C_O,APC2D2_C_S,APC2D2_N_N,APC2D3_C_C,APC2D3_C_N,APC2D3_C_O,APC2D3_C_X,APC2D3_N_N,APC2D3_N_S,APC2D4_C_C,APC2D4_C_N,APC2D4_C_O,APC2D4_C_S,APC2D4_C_Cl,APC2D4_C_X,APC2D4_N_N,APC2D5_C_C,APC2D5_C_N,APC2D5_C_O,APC2D5_C_S,APC2D5_C_Cl,APC2D5_C_X,APC2D5_N_N,APC2D5_N_O,APC2D6_C_C,APC2D6_C_N,APC2D6_C_O,APC2D6_C_S,APC2D6_C_F,APC2D6_C_Cl,APC2D6_C_X,APC2D7_C_C,APC2D7_C_N,APC2D7_C_O,APC2D7_C_S,APC2D7_C_F,APC2D7_C_Cl,APC2D7_C_X,APC2D8_C_C,APC2D8_C_N,APC2D8_C_O,APC2D8_C_F,APC2D8_C_Br,APC2D8_C_X,APC2D8_N_N,APC2D9_C_C,APC2D9_C_N,APC2D9_C_O,APC2D9_C_S,APC2D9_N_N,APC2D10_C_C,APC2D10_C_N,APC2D10_C_O,APC2D10_C_S,KRFPC1,KRFPC297,KRFPC298,KRFPC341,KRFPC383,KRFPC467,KRFPC669,KRFPC677,KRFPC758,KRFPC2975,KRFPC3058,KRFPC3150,KRFPC3224,KRFPC3369,KRFPC3396,KRFPC3402,KRFPC3540,KRFPC3593,KRFPC3640,KRFPC3659,KRFPC3660,KRFPC3661,KRFPC3662,KRFPC3682,KRFPC3692,KRFPC3706,KRFPC3712,KRFPC3717,KRFPC3719,KRFPC3722,KRFPC3726,KRFPC3729,KRFPC3733,KRFPC3735,KRFPC3740,KRFPC3742,KRFPC3750,KRFPC3773,KRFPC3781,KRFPC3782,KRFPC3882,KRFPC3926,KRFPC4264,Smiles
CHEMBL3715626,Inactive,14.0,8.0,2.0,0.0,16.0,11.0,3.0,0.0,1.0,12.0,12.0,5.0,0.0,1.0,0.0,15.0,6.0,6.0,0.0,0.0,0.0,1.0,14.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,14.0,6.0,3.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,8.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,4.0,2.0,1.0,4.0,2.0,0.0,O=C(NC1CCNC1)c1ccc(O)c2[nH]c(C3CC3)nc12
CHEMBL3719268,Inactive,14.0,8.0,0.0,2.0,19.0,11.0,0.0,3.0,1.0,17.0,11.0,0.0,0.0,1.0,1.0,19.0,7.0,0.0,2.0,0.0,0.0,2.0,17.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,2.0,0.0,0.0,0.0,9.0,5.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,4.0,2.0,0.0,1.0,3.0,1.0,0.0,NC1CCCN(c2ccnc3[nH]c(-c4cccs4)cc23)C1
CHEMBL3719067,Active,16.0,13.0,2.0,2.0,22.0,15.0,3.0,3.0,2.0,18.0,14.0,4.0,0.0,2.0,2.0,17.0,14.0,5.0,4.0,0.0,0.0,1.0,22.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,15.0,15.0,4.0,3.0,0.0,0.0,0.0,17.0,13.0,2.0,0.0,0.0,0.0,0.0,12.0,11.0,2.0,0.0,0.0,0.0,2.0,14.0,5.0,2.0,2.0,1.0,12.0,4.0,3.0,1.0,2.0,7.0,4.0,3.0,1.0,2.0,0.0,2.0,1.0,10.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,5.0,1.0,6.0,6.0,2.0,2.0,6.0,3.0,0.0,O=C(NC1CCCNC1)c1ccnc2nc(-c3ccc(N4CCC(O)C4)s3)[nH]c12
CHEMBL3718575,Active,22.0,9.0,1.0,0.0,32.0,10.0,1.0,0.0,2.0,21.0,16.0,3.0,0.0,1.0,0.0,16.0,17.0,3.0,0.0,0.0,0.0,1.0,20.0,8.0,3.0,0.0,0.0,0.0,2.0,2.0,21.0,9.0,3.0,0.0,0.0,0.0,0.0,22.0,7.0,3.0,0.0,0.0,0.0,0.0,15.0,10.0,4.0,0.0,0.0,0.0,0.0,13.0,7.0,1.0,0.0,0.0,13.0,5.0,0.0,0.0,5.0,10.0,12.0,3.0,0.0,1.0,0.0,1.0,1.0,16.0,4.0,2.0,16.0,4.0,2.0,0.0,0.0,3.0,21.0,10.0,8.0,0.0,0.0,0.0,24.0,20.0,12.0,0.0,3.0,0.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,NCC1CCC(CNC(=O)c2ccnc3nc(C4CC5CCC4C5)[nH]c23)CC1
CHEMBL3715412,Active,15.0,9.0,1.0,2.0,19.0,12.0,1.0,3.0,2.0,15.0,14.0,3.0,0.0,1.0,2.0,12.0,13.0,4.0,2.0,0.0,0.0,1.0,17.0,3.0,3.0,1.0,0.0,0.0,3.0,2.0,15.0,8.0,2.0,3.0,0.0,0.0,0.0,15.0,8.0,1.0,0.0,0.0,0.0,0.0,7.0,9.0,2.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,2.0,1.0,7.0,1.0,0.0,2.0,2.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,4.0,2.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,0.0,3.0,1.0,2.0,NC1CCC(NC(=O)c2ccnc3nc(-c4cccs4)[nH]c23)CC1
CHEMBL3719157,Inactive,15.0,8.0,1.0,2.0,20.0,10.0,1.0,3.0,1.0,15.0,13.0,3.0,0.0,0.0,1.0,16.0,6.0,3.0,2.0,0.0,0.0,3.0,16.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,15.0,7.0,1.0,2.0,0.0,0.0,0.0,13.0,9.0,1.0,1.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,2.0,6.0,3.0,2.0,2.0,0.0,6.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,6.0,1.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,5.0,0.0,3.0,2.0,0.0,1.0,3.0,1.0,0.0,O=C(Nc1ccnc2[nH]c(-c3cccs3)cc12)C1CCCNC1
CHEMBL3716516,Inactive,15.0,10.0,2.0,2.0,20.0,11.0,3.0,3.0,2.0,15.0,14.0,4.0,0.0,1.0,0.0,14.0,10.0,7.0,0.0,0.0,0.0,2.0,13.0,9.0,4.0,2.0,0.0,0.0,2.0,3.0,17.0,6.0,5.0,1.0,0.0,0.0,0.0,14.0,9.0,2.0,3.0,0.0,0.0,0.0,14.0,8.0,2.0,0.0,0.0,0.0,1.0,7.0,6.0,3.0,1.0,2.0,7.0,3.0,2.0,1.0,1.0,5.0,3.0,2.0,1.0,3.0,0.0,2.0,2.0,8.0,1.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,5.0,2.0,3.0,3.0,1.0,1.0,4.0,2.0,0.0,O=C(c1nc2nccc(C(=O)NCC3CCCNC3)c2[nH]1)c1cccs1
CHEMBL3714837,Active,18.0,8.0,2.0,0.0,23.0,11.0,3.0,0.0,1.0,19.0,13.0,5.0,0.0,1.0,0.0,16.0,11.0,6.0,0.0,0.0,0.0,1.0,19.0,6.0,5.0,0.0,0.0,0.0,1.0,2.0,21.0,6.0,4.0,0.0,0.0,0.0,0.0,17.0,7.0,5.0,0.0,0.0,0.0,0.0,11.0,6.0,5.0,0.0,0.0,0.0,1.0,9.0,3.0,2.0,0.0,0.0,8.0,2.0,1.0,0.0,1.0,4.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,6.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,4.0,2.0,0.0,O=C(NC1CCCNC1)c1ccc(O)c2[nH]c(-c3ccccc3)nc12
CHEMBL3716979,Inactive,16.0,8.0,2.0,2.0,20.0,11.0,3.0,3.0,1.0,17.0,11.0,5.0,0.0,1.0,2.0,13.0,12.0,5.0,2.0,0.0,0.0,1.0,16.0,5.0,5.0,2.0,0.0,0.0,1.0,2.0,16.0,5.0,4.0,3.0,0.0,0.0,0.0,16.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,7.0,3.0,0.0,0.0,0.0,1.0,10.0,4.0,1.0,1.0,0.0,7.0,2.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,7.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,1.0,4.0,4.0,1.0,2.0,4.0,2.0,0.0,O=C(NCC1CCCCN1)c1ccc(O)c2[nH]c(-c3cccs3)nc12
CHEMBL3717110,Inactive,20.0,8.0,2.0,0.0,28.0,11.0,3.0,0.0,1.0,19.0,13.0,5.0,0.0,1.0,0.0,16.0,13.0,6.0,0.0,0.0,0.0,1.0,21.0,6.0,5.0,0.0,0.0,0.0,1.0,2.0,23.0,6.0,4.0,0.0,0.0,0.0,0.0,20.0,7.0,6.0,0.0,0.0,0.0,0.0,11.0,7.0,6.0,0.0,0.0,0.0,1.0,10.0,3.0,2.0,0.0,0.0,10.0,2.0,1.0,0.0,4.0,8.0,8.0,3.0,1.0,2.0,0.0,2.0,1.0,13.0,2.0,1.0,12.0,2.0,0.0,1.0,0.0,1.0,14.0,6.0,6.0,1.0,1.0,0.0,16.0,11.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,4.0,2.0,0.0,O=C(NC1CCCNC1)c1ccc(O)c2[nH]c(C3CC4CCC3C4)nc12
