ID,SMILES,CAS
D0001,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,144-83-2 
D0002,CC(C)C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,57773-63-4 
D0003,NCCc1cnc[nH]1,51-45-6
D0004,CC[C@@H](C)C1(CC)C(=O)NC(=O)NC1=O,125-40-6 
D0005,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,56-47-3
D0006,CC(C)(C)C(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,808-48-0 
D0007,NC(N)=[NH2+],113-00-8 
D0008,CC1=CC(=O)c2ccccc2C1=O,58-27-5
D0009,Cn1c(=O)c2[nH]cnc2n(C)c1=O,58-55-9
D0010,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,50-14-6
D0011,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,53-16-7
D0012,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,56-53-1
D0013,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,68-35-9
D0014,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,57-42-1
D0015,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](O)c1ccccc1)C2,80-49-9
D0016,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,125-29-1 
D0017,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,50-28-2
D0018,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,57-63-6
D0019,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,979-32-8 
D0020,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,313-06-4 
D0021,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,4245-41-4
D0022,CN[C@@H](C)Cc1ccccc1,537-46-2 
D0023,O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,66-76-2
D0024,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,68-26-8
D0025,COc1cc2c3cc1Oc1cc(ccc1O)C[C@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,57-95-4
D0026,Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1,127-71-9 
D0027,CC(=O)NS(=O)(=O)c1ccc(N)cc1,144-80-9 
D0028,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,72-14-0
D0030,CN(C)CCOC(c1ccccc1)c1ccccc1,58-73-1
D0031,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,160970-54-7
D0032,CN1C(=O)OC(C)(C)C1=O,127-48-0 
D0033,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)cnc2[nH]1,59-30-3
D0034,CN(C)CCN(Cc1ccccc1)c1ccccn1,91-81-6
D0035,C[N+]1(C)[C@@H]2CC[C@H]1C[C@H](OC(=O)[C@@H](O)c1ccccc1)C2,80-49-9
D0036,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,511-12-6 
D0037,OC[C@H](S)CS,59-52-9
D0038,CCN(CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,54-05-7
D0039,CC[C@]1(c2ccccc2)NC(=O)N(C)C1=O,50-12-4
D0040,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,113-42-8 
D0041,O=[S@](O)CNc1ccc(S(=O)(=O)c2ccc(NC[S@](=O)O)cc2)cc1,144-76-3 
D0042,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,50-81-7
D0043,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,58-85-5
D0044,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,83919-23-7 
D0045,NC(=O)c1cccnc1,98-92-0
D0046,Cc1ncc(CO)c(CO)c1O,65-23-6
D0047,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,59-43-8
D0048,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,59-02-9
D0049,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,84-17-3
D0050,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,76-99-3
D0051,CCCc1cc(=O)[nH]c(=S)[nH]1,51-52-5
D0052,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,85-79-0
D0053,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,70-30-4
D0054,OC[C@@H](S)CS,59-52-9
D0055,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,127-79-7 
D0056,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,57-68-1
D0057,CC(C)NC[C@H](O)c1ccc(O)c(O)c1,7683-59-2
D0058,CC(C)NC[C@@H](O)c1ccc(O)c(O)c1,7683-59-2
D0059,c1ccc(CC2=NCCN2)cc1,59-98-3
D0060,CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1,469-21-6 
D0061,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,86-42-0
D0062,CCN(CC)C(=O)N1CCN(C)CC1,90-89-1
D0063,CCN(CC)CC(=O)Nc1c(C)cccc1C,137-58-6 
D0064,CNC[C@H](O)c1ccc(O)c(O)c1,51-43-4
D0065,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,127-69-5 
D0066,CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,80-74-0
D0067,Nc1ccc(S(N)(=O)=O)cc1,63-74-1
D0068,C[C@H](C[N+](C)(C)C)OC(N)=O,590-63-6 
D0069,Cn1c(=O)c2c(ncn2C)n(C)c1=O,58-08-2
D0070,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,113-15-5 
D0071,COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3,5152-30-7
D0072,CN(CCCl)CCCl,51-75-2
D0073,COc1ccc(OC)c([C@H](O)[C@@H](C)N)c1,390-28-3 
D0074,O[C@@](CCN1CCCCC1)(c1ccccc1)C1CCCCC1,144-11-6 
D0075,CC[C@]1(C)OC(=O)N(C)C1=O,115-67-3 
D0076,Nc1ccc(C(=O)[O-])c(O)c1,65-49-6
D0077,CN(C)CC[C@H](c1ccc(Cl)cc1)c1ccccn1,132-22-9 
D0078,Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,133-11-9 
D0079,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,25523-97-1 
D0080,C/C=C/C(=O)N(CC)c1ccccc1C,483-63-6 
D0081,O=C([O-])C1=C/C(=N/Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O,599-79-1 
D0082,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,50-04-4
D0083,CCN(CC)CCNC(=O)c1ccc(N)cc1,51-06-9
D0084,CC(=O)Oc1ccccc1C(=O)[O-],50-78-2
D0085,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,76-42-6
D0086,C=CCC1([C@H](C)CCC)C(=O)NC(=O)NC1=O,76-73-3
D0087,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,77-19-0
D0088,Cn1cc[nH]c1=S,60-56-0
D0089,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,56-54-2
D0090,C=CC[C@]1([C@H](C)CCC)C(=O)N=C(S)NC1=O,77-27-0
D0091,C=CC[C@]1([C@@H](C)CCC)C(=O)N=C(S)NC1=O,77-27-0
D0092,NC(=O)NC(=O)Cc1ccccc1,63-98-9
D0093,Cn1c(=O)c2c(ncn2C[C@H](O)CO)n(C)c1=O,479-18-5 
D0094,CCN(CC)CCOc1cccc(OCCN(CC)CC)c1OCCN(CC)CC,153-76-4 
D0095,CCN(CC)C(=S)SSC(=S)N(CC)CC,97-77-8
D0096,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)[O-])cc1,57-66-9
D0097,C[C@@H](CN1c2ccccc2Sc2ccccc21)N(C)C,60-87-7
D0098,CNC[C@H](O)c1cccc(O)c1,59-42-7
D0099,C[C@H](CNC1CCCCC1)OC(=O)c1ccccc1,532-77-4 
D0100,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,91-84-9
D0101,CC[N+](C)(C)c1cccc(O)c1,312-48-1 
D0102,CN(C)CCO[C@@H](c1ccccc1)c1ccc(Br)cc1,1808-12-4
D0103,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1,59-05-2
D0104,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,569-57-3 
D0105,Nc1nc(=O)c2c([nH]1)NC[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O,58-05-9
D0106,C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,15394-62-4 
D0107,Oc1ccc(OCc2ccccc2)cc1,103-16-2 
D0108,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,50-23-7
D0109,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,50-03-3
D0110,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,57524-89-7 
D0111,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,13609-67-1 
D0112,CNC(C)(C)Cc1ccccc1,100-92-5 
D0113,NNc1nncc2ccccc12,86-54-4
D0114,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,76-57-3
D0115,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,50-33-9
D0116,CCC1(CC)C(=O)NC(=O)N(C)C1=O,50-11-3
D0117,NNC(=O)c1ccncc1,54-85-3
D0118,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,306-40-1 
D0119,C[C@@H](CNC1CCCCC1)OC(=O)c1ccccc1,532-77-4 
D0120,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,144-82-1 
D0121,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,58-14-0
D0122,CCN(CC)CCOC(=O)c1ccc(N)cc1,59-46-1
D0123,C[C@H](COc1ccccc1)N(CCCl)Cc1ccccc1,59-96-1
D0124,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,829-74-3 
D0126,C[C@@H](COc1ccccc1)N(CCCl)Cc1ccccc1,59-96-1
D0127,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,77-07-6
D0128,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,298-50-0 
D0129,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,57-41-0
D0130,CN(C)CCO[C@@H](c1ccc(Cl)cc1)c1ccccn1,486-16-8 
D0131,O=C1c2ccccc2C(=O)C1c1ccccc1,83-12-5
